questionid,category,round,question,solution,explanation,type,action
5,Preposition,4,The mobile application is in alignment to AHL's vision of being the preferred choice in venue-making as well as a leader in presenting art festivals.,The mobile application is in alignment with AHL's vision of being the preferred choice in venue-making as well as a leader in presenting art festivals.,"Aligned with someone or something ,  not aligned to.",C,replace
5,Punctuation,1,"They aim to provide affordable Pay TV content to everyone, including millennials by the end of the year.","They aim to provide affordable Pay TV content to everyone, including millennials, by the end of the year.",place the clause within two commas,C,insert
5,Punctuation,1,"Toggle can maximise its viewership, as well as raise the awareness of locally produced documentaries.",Toggle can maximise its viewership as well as raise the awareness of locally produced documentaries.,"""As well as"" is a conjunction that joins two sentences; it does not need a comma.",SP,remove
5,Punctuation,2,"Thus, young adults are increasingly image-conscious, creating an endless chase for perfection. (Simmons, 2016).","Thus, young adults are increasingly image-conscious, creating an endless chase for perfection (Simmons, 2016).",Remove full stop before in-text citation bracket,C,remove
5,Punctuation,3,"His persuasive methods include; using his experience, his appeal to logos rather than pathos, and the bullet-point structure.","His persuasive methods include using his experience, his appeal to logos rather than pathos, and the bullet-point structure.",no need for a punctuation,C,remove
5,Punctuation,4,The articles provided a different perspective of Millennials.,The articles provided a different perspective of millennials.,millennials is a common noun and does not have to be capitalised,C,replace
5,Subject Verb Agreement,1,"Type II diabetes lead to ""serious complications such as heart disease, stroke, kidney failure, blindness, and lower limb amputations"" (MOH, 2016).","Type II diabetes leads to ""serious complications such as heart disease, stroke, kidney failure, blindness, and lower limb amputations"" (MOH, 2016).","""diabetes"" takes the singular form of the verb.",C,replace
5,Subject Verb Agreement,1,Sources indicates that positive discrimination may help alleviate the situation.,Sources indicate that positive discrimination may help alleviate the situation.,"""Sources"" (Subject) takes the plural form of the verb ""indicate"". For a singular subject, use ""the source"" (indicates).",SP,replace
5,Subject Verb Agreement,2,The charts used in the proposal provides a detailed timeline of the project.,The charts used in the proposal provide a detailed timeline of the project.,"""charts"" takes the plural form of the verb.",C,replace
5,Subject Verb Agreement,3,The enhanced security of IT in recent years have led to an increasing use of online catalogues.,The enhanced security of IT in recent years has led to an increasing use of online catalogues.,"""security"" takes the singular form of the verb.",C,replace
5,Subject Verb Agreement,4,"Research has shown that music, yoga and guided imagery helps in reducing stress.","Research has shown that music, yoga and guided imagery help in reducing stress.","""music, yoga and guided imagery"" take the plural verb form.",C,replace
5,Verb Form,1,"The prevalence of tattoos in mainstream media contributed to the rapid growth of their popularity (Gatewood,2014; Chiu,2017).","The prevalence of tattoos in mainstream media has contributed to the rapid growth of their popularity (Gatewood,2014; Chiu,2017).",Present perfect tense shows duration of time,C,insert
5,Verb Form,1,Mental health affects students' grades or lead to social issues such as crime and suicide.,Mental health affects students' grades or leads to social issues such as crime and suicide.,"Simple present tense should be used here. The sentence is essentially ""Mental health affects students' grades or (Mental health) leads to social issues such as crime and suicide"". The subject of the sentence is ""mental health"" which is singular, given that it is an abstract noun (i.e. an idea).",SP,replace
5,Verb Form,2,"It has been found that three in ten Singaporeans get diabetes before the age of 40 (Mohandas, 2015 and MOH, 2016), and that the younger generation had poorer control of their sugar intake (Mohandas, 2015).","It has been found that three in ten Singaporeans get diabetes before the age of 40 (Mohandas, 2015 and MOH, 2016), and that the younger generation has poorer control of their sugar intake (Mohandas, 2015).",Simple present tense,C,replace
5,Verb Form,3,"Noticeably, Asher (2016) has use an informal tone in her article.","Noticeably, Asher (2016) has used an informal tone in her article.",Present perfect tense,C,replace
5,Verb Form,4,I would recommend feature Rihanna's Fenty Beauty Foundation in the next issue of the magazine.,I would recommend featuring Rihanna's Fenty Beauty Foundation in the next issue of the magazine.,"Here, you  recommend doing something.  So you use an -ing form of a verb: recommend featuring.",C,replace
5,Word Form,0,Viewers will be willing to pay if a satisfied service is delivered.,Viewers will be willing to pay if a satisfactory service is delivered.,The service was not 'satisfied'; viewers were satisfied with the satisfactory service.,Test,replace
5,Word Form,1,"Electronic Sports, commonly known as eSports, is one of the up and coming industry in Singapore today.","Electronic Sports, commonly known as eSports, is one of the up and coming industries in Singapore today.","Plural form is required if you introduce a noun with a phrase like ""one of the"".",C,replace
5,Word Form,1,Many people are wearing such gadgets because they seem fashion.,Many people are wearing such gadgets because they seem fashionable.,"""fashionable"" is an adjective and describes / modifies / complements the noun ""gadgets"". ""fashion"" is a noun E.g. She always wears the latest fashion.",SP,replace
5,Word Form,2,The latest trend among young adults is shopping online for apparels.,The latest trend among young adults is shopping online for apparel.,"""Apparel"" is an uncountable noun, so it has no plural form.",C,replace
5,Word Form,3,ASMR methods are a mean to reduce anxiety and help alleviate depression.,ASMR methods are a means to reduce anxiety and help alleviate depression.,"""A means"" is a method or way of doing something. Plural form is required.",C,replace
5,Word Form,4,Boxing can cause a brain injury and damages to internal organs.,Boxing can cause a brain injury and damage to internal organs.,"""Damage"" is an uncountable noun when it refers to ""harm"". ""Damages"", on the other hand, refers to ""compensation"".",C,replace
6,Articles,1,"For detailed breakdown of the budget, refer to Figure 2.","For a detailed breakdown of the budget, refer to Figure 2.",Article required,C,insert
6,Articles,1,Rihanna has been receiving praise from the young adults for her inclusive beauty range.,Rihanna has been receiving praise from young adults for her inclusive beauty range.,"No article is needed for a proper noun (i.e. a name) unless you want to use it to describe a characteristic. E.g. to solve this problem, you must be an Einstein! (suggesting that you have the same level of intellectual capacity as Einstein).",SP,remove
6,Articles,2,"On weekends, there is high volume of traffic and millennials frequent these websites often.","On weekends, there is a high volume of traffic and millennials frequent these websites often.",Article required,C,insert
6,Articles,3,"The Cosy Heaven, in the Student Wellness Centre at SMU, is a dedicated to helping Students de-stress from the daily challenges of academic life.","The Cosy Heaven, in the Student Wellness Centre at SMU, is dedicated to helping Students de-stress from the daily challenges of academic life.",No article required,C,remove
6,Articles,4,"Over the recent years, there has been a substantial increase in the growth and development of the healthcare industry.","Over recent years, there has been a substantial increase in the growth and development of the healthcare industry.",No article required,C,remove
6,Preposition,1,"The market on wearable technology is projected to increase 35% by 2019 (Crowl, 2017), and two-fold by 2021 (International Data Corporation, 2017).","The market on wearable technology is projected to increase by 35% by 2019 (Crowl, 2017), and two-fold by 2021 (International Data Corporation, 2017).",Increase by 25%,C,insert
6,Preposition,1,Virtual Reality relies in headsets that provide realistic vision through head-movement tracking.,Virtual Reality relies on headsets that provide realistic vision through head-movement tracking.,"You ""rely on"" or ""depend on"" someone or something.",SP,replace
6,Preposition,2,There were more than a hundred of young adults queuing outside the Sephora store at the launch.,There were more than a hundred young adults queuing outside the Sephora store at the launch.,No preposition required after a hundred. Note difference between this and hundreds of.,C,remove
6,Preposition,3,His unassuming personality is a stark contrast against Mayweather's arrogance.,His unassuming personality is a stark contrast to Mayweather's arrogance.,contrast to or contrast with are the correct prepositions.,C,replace
6,Preposition,4,"The beauty industry is constantly changing and new trends are constantly evolving; hence, it is crucial to keep abreast with the latest trends.","The beauty industry is constantly changing and new trends are constantly evolving; hence, it is crucial to keep abreast of the latest trends.",Keep abreast of,C,replace
6,Punctuation,1,The total views for magnetic mask related videos worldwide is 98 million.,The total views for magnetic mask-related videos worldwide is 98 million.,hyphenate 'mask' and 'related' because both words modify the noun 'videos',C,insert
6,Punctuation,1,Such programmes will transform the image of the arts from being something that is elitist; into something that can be enjoyed by everyone.,Such programmes will transform the image of the arts from being something that is elitist into something that can be enjoyed by everyone.,The programmes transform A into B. You do not put punctuation in between the two objects (A & B).,SP,remove
6,Punctuation,2,We are able to predict it's sustainability in the long run.,We are able to predict its sustainability in the long run.,Remove apostrophe,C,remove
6,Punctuation,3,"Previously, the cure for insomnia was medication. whereas now, there are holistic alternatives.","Previously, the cure for insomnia was medication whereas now, there are holistic alternatives.","Remove full stop before ""whereas"". Whereas is a conjunction and comes at the beginning of a subordinate (dependent) clause.",C,remove
6,Punctuation,4,"The basement is crowded during the term, However during the vacation period, it is underutilised.","The basement is crowded during the term. However during the vacation period, it is underutilised.","Comma Splice: Two independent clauses cannot be joined with 'however' because it is NOT a conjunction. To join these two sentences, you can use a coordinating conjunction (e.g. but) or a semicolon.",C,replace
6,Subject Verb Agreement,1,"In recent years, Esports have become increasingly popular among young adults.","In recent years, Esports has become increasingly popular among young adults.","""Esports"" takes the singular verb when it refers to a general field of activity or interest.",C,replace
6,Subject Verb Agreement,1,"Product trials, which was previously unavailable, are now the latest trend for online shoppers.","Product trials, which were previously unavailable, are now the latest trend for online shoppers.","""Trials"" takes the plural form of the verb ""were"". ""Product trials"" is a noun phrase, where ""product"" (noun) modifies (describes) ""trial"" (another noun ie. What type of trial it is.). Hence, the subject is ""product trials"".",SP,replace
6,Subject Verb Agreement,2,Easy access to online information allow tech savvy adults to know the harmful effects of pill popping.,Easy access to online information allows tech savvy adults to know the harmful effects of pill popping.,"""information"" takes the singular form of the verb.",C,replace
6,Subject Verb Agreement,3,Using a clear argument help to make his point more persuasive.,Using a clear argument helps to make his point more persuasive.,"""argument"" takes the singular form of the verb.",C,replace
6,Subject Verb Agreement,4,The evidence comes from an institution that are currently using art to relieve stress.,The evidence comes from an institution that is currently using art to relieve stress.,"""institution"" takes the singular form of the verb.",C,replace
6,Verb Form,0,I would highly be recommend featuring the trend of rising death-by-drugs rates which is more relevant to our readers.,I would highly recommend featuring the trend of rising death-by-drugs rates which is more relevant to our readers.,Present simple tense using a modal (would),Test,remove
6,Verb Form,1,I would recommend the Ketogenic Diet to be featured as it impacts the readers more.,I would recommend that the Ketogenic Diet be featured as it impacts the readers more.,A complex structure: would recommend thatbe featured,C,insert
6,Verb Form,1,The company can emphasise the importance of its product and simultaneously increasing interactivity with the public.,The company can emphasise the importance of its product and simultaneously increase interactivity with the public.,"Use parallel structures to emphasize the connection between ideas. When structures are parallel, they are connected by a coordinate conjunction (e.g. ""and"", ""or"") and are grammatically the same (in this case, ""to be bold in their innovations"" ""(to) not be afraid to try them out"".",SP,replace
6,Verb Form,2,"Although devices such as wearable pedometers and heart monitors have exist for many years to track patients' calorie intake and heart rate, the latest devices, such as smartwatches, fitness bands, headbands, give the users a way to track a wider range of health statistics (Burrus,2015).","Although devices such as wearable pedometers and heart monitors have existed for many years to track patients' calorie intake and heart rate, the latest devices, such as smartwatches, fitness bands, headbands, give the users a way to track a wider range of health statistics (Burrus,2015).",Present perfect tense. Have is followed by a past participle existed.,C,replace
6,Verb Form,3,Some students will overindulged in the activity and forget to go to their lessons.,Some students will overindulge in the activity and forget to go to their lessons.,The verb that comes of 'will' should be in the base form.,C,replace
6,Verb Form,4,This technique improves the quality of healthcare and reducing post-surgery costs.,This technique improves the quality of healthcare and reduces post-surgery costs.,Parallelism- improves and reduces,C,replace
6,Word Form,1,"Micro-influencers have a strong connect, as they are deeply engaged with their followers.","Micro-influencers have a strong connection, as they are deeply engaged with their followers.","The noun (""connection"") is required, not the verb (""connect"").",C,replace
6,Word Form,1,The SMU Arts Festival encourages students to relate their knowledges of the arts with their own education.,The SMU Arts Festival encourages students to relate their knowledge of the arts with their own education.,"""knowledge"" is an uncountable noun, and does not have a  plural form.",SP,replace
6,Word Form,2,Young adults only focus on the positive outcomes of cosmetic surgeries without considering the risks.,Young adults only focus on the positive outcomes of cosmetic surgery without considering the risks.,"""Cosmetic surgery"" is an uncountable noun, so it has no plural form.",C,replace
6,Word Form,3,The trend is for couples to have their photoshoot done in oversea locations.,The trend is for couples to have their photoshoot done in overseas locations.,"""Overseas"" is the complete form of the word, so there is no singular form.",C,replace
6,Word Form,4,Healthy eating is a guaranteed way to loose weight.,Healthy eating is a guaranteed way to lose weight.,"""Loose"" means baggy; ""lose"" means to fail or misplace something.",C,replace
7,Articles,1,"majority of the budget (70%) will be channelled to Facebook advertisements, followed by a 30% allocation for Human Resources.","The majority of the budget (70%) will be channelled to Facebook advertisements, followed by a 30% allocation for Human Resources.",Article required,C,insert
7,Articles,1,We must include a trend that is relevant to the society.,We must include a trend that is relevant to society.,"No article is required for a generic reference or abstract concept; in this case, the sentence means ""society in general"" as opposed to a specific reference.",SP,remove
7,Articles,2,"Cold pressed juices are produced using masticating juicer, which uses a hydraulic press to squeeze the juice from fruit and vegetables (Pressed Juices, n.d.).","Cold pressed juices are produced using a masticating juicer, which uses a hydraulic press to squeeze the juice from fruit and vegetables (Pressed Juices, n.d.).",Article required,C,insert
7,Articles,3,"With the rapid growth of the internet, millennials have lost their interest in watching live TV shows; 89% of the millennials prefer to watch TV online (Wittmer, 2017).","With the rapid growth of the internet, millennials have lost their interest in watching live TV shows; 89% of millennials prefer to watch TV online (Wittmer, 2017).",No article required,C,remove
7,Articles,4,Our mission is to help AHL to establish its brand positioning in a Singapore market.,Our mission is to help AHL to establish its brand positioning in the Singapore market.,the' required,C,replace
7,Preposition,1,The plus-size revolution emphasizes on the need for acceptance of body diversity in women.,The plus-size revolution emphasizes the need for acceptance of body diversity in women.,"Emphasises means focuses on, so no preposition needed after the verb.",C,remove
7,Preposition,1,Many investors are now investing on fixed deposits and mutual funds.,Many investors are now investing in fixed deposits and mutual funds.,"You ""invest in"" something or someone but you ""invest on"" someone or something to make it better or more successful.",SP,replace
7,Preposition,2,"Although both articles discussed about the traits and needs of millennials in the workplace, Fromm provided more evidence which made his writing more persuasive.","Although both articles discussed the traits and needs of millennials in the workplace, Fromm provided more evidence which made his writing more persuasive.",No preposition required after discuss which means talk about.,C,remove
7,Preposition,3,"This trend is impactful on readers, therefore it would be meaningful and informative to publish it on our online magazine.","This trend is impactful on readers, therefore it would be meaningful and informative to publish it in our online magazine.",Publish something in a journal/newspaper/magazine but on a website.,C,replace
7,Preposition,4,The number of Virtual Reality users is growing in an exponential rate.,The number of Virtual Reality users is growing at an exponential rate.,Growing at a _ rate,C,replace
7,Punctuation,1,As the objective is to persuade the audience to support your idea. the student with the most votes wins the competition.,"As the objective is to persuade the audience to support your idea, the student with the most votes wins the competition.",The first sentence is an incomplete sentence. Needs a comma between the two sentences to make it complete.,C,replace
7,Punctuation,1,Acrylic boxes are manufactured overseas; It will be cost-efficient to purchase directly from the overseas factories.,Acrylic boxes are manufactured overseas. It will be cost-efficient to purchase directly from the overseas factories.,Two complete sentences can be joined by a semi-colon (usually when the sentences are linked) but the following sentence must start with a word which is not capitalised. Semi-colons are used in cases where sentences are grammatically independent but the meaning is closely connected.,SP,replace
7,Punctuation,2,SMU can review the feedback after the project to determine the student's' satisfaction levels.,SMU can review the feedback after the project to determine the students' satisfaction levels.,Remove apostrophe before s,C,remove
7,Punctuation,3,"The two trends chosen are; the increase in use of 3D printing in the health sector, and the increased use of wearable technology.","The two trends chosen are the increase in use of 3D printing in the health sector, and the increased use of wearable technology.",semicolon not needed,C,remove
7,Punctuation,4,"An article on the rise of veganism - a popular fad among millennials, is likely to interest young adults.","An article on the rise of veganism, a popular fad among millennials, is likely to interest young adults.",place the clause within two commas,C,replace
7,Subject Verb Agreement,1,She is a motivational speaker who focus on millennials' issues.,She is a motivational speaker who focuses on millennials' issues.,"""motivational speaker"" takes the singular form of the verb.",C,replace
7,Subject Verb Agreement,1,Millennials can harness AR technology to create applications that enhances entertainment.,Millennials can harness AR technology to create applications that enhance entertainment.,"""applications"" takes the plural form of the verb ""enhance"". The phrase ""that enhance entertainment"" modifies the noun ""applications"" not ""technology"".",SP,replace
7,Subject Verb Agreement,2,The two trends on health was identified based on their relevance to young adults.,The two trends on health were identified based on their relevance to young adults.,"""trends"" takes the plural form of the verb.",C,replace
7,Subject Verb Agreement,3,Singapore Management University has over 9000 graduates who enters the workforce every year.,Singapore Management University has over 9000 graduates who enter the workforce every year.,"""graduates"" take the plural form of the verb.",C,replace
7,Subject Verb Agreement,4,Both trends have the potential to influence how online shopping are conducted.,Both trends have the potential to influence how online shopping is conducted.,"""shopping"" takes the singular form of the verb.",C,replace
7,Verb Form,0,"Despite these YouTubers have a large fan base, they are unable to influence everyone in society.","Despite these YouTubers having a large fan base, they are unable to influence everyone in society.","When you use 'despite', the verb that follows is written in the -ing form. The verb here (""having"" is used to describe the Youtubers, so the verb is in what is known as an adjectival phrase, describing the noun (youtubers).",Test,replace
7,Verb Form,1,His expenses has exceeded his income in 2016.,His expenses exceeded his income in 2016.,Simple past tense,C,remove
7,Verb Form,1,Instagram is the best social media platform to recruit brand ambassadors as well as advertising our brand image.,Instagram is the best social media platform to recruit brand ambassadors as well as advertise our brand image.,"Use parallel structures to emphasize the connection between ideas. When structures are parallel, they are connected by a coordinate conjunction (e.g. ""and"", ""or"") and are grammatically the same (in this case, ""to recruit brand ambassadors"" and ""(to) advertise our brand image"".",SP,replace
7,Verb Form,2,"Despite these YouTubers have a large fan base, they are unable to influence everyone in society.","Despite these YouTubers having a large fan base, they are unable to influence everyone in society.",The phrase having a large fan base is a noun phrase describing the Youtubers. As part of the noun phrase the verb have here needs to be in the gerund (verb + ing) is used 'having'.,C,replace
7,Verb Form,3,WPT monitors fitness by analyzing motion and provide real-time feedback.,WPT monitors fitness by analyzing motion and providing real-time feedback.,Parallelism- 'by analyzing and providing',C,replace
7,Verb Form,4,"With that being said, I urged you to publish the trend on the increase in the number of makeup brands available in the next issue of our online magazine.","With that being said, I urge you to publish the trend on the increase in the number of makeup brands available in the next issue of our online magazine.",Simple present tense,C,replace
7,Word Form,1,The number of Singaporeans getting diabetics is on the rise.,The number of Singaporeans getting diabetes is on the rise.,"""Diabetes"" is the accurate noun to use here, as ""diabetics"" refers to the people with diabetes.",C,replace
7,Word Form,1,Both trends will inform our readers on the current hypes in the music industry.,Both trends will inform our readers on the current hype in the music industry.,"""hype"" is an uncountable noun, and does not have a plural form.",SP,replace
7,Word Form,2,The basement does not have a conducive atmosphere for students to do their homeworks.,The basement does not have a conducive atmosphere for students to do their homework.,"""Homework"" is an uncountable noun, so it has no plural form.",C,replace
7,Word Form,3,"With smartphone at the core of our daily lives, smartphone addiction is becoming an alarming concern.","With smartphones at the core of our daily lives, smartphone addiction is becoming an alarming concern.",Plural noun required,C,replace
7,Word Form,4,"In lieu of the increasing emphasis on entrepreneurship, SMU should start a student-run shop.","In view of the increasing emphasis on entrepreneurship, SMU should start a student-run shop.","""In lieu of"" means ""in place of""; ""in view of"" means ""taking something into consideration"".",C,replace
8,Articles,1,I recommend featuring group workouts as they have greater impact on young adults.,I recommend featuring group workouts as they have a greater impact on young adults.,Article required,C,insert
8,Articles,1,This can be seen from the fact that the Rihanna has been receiving praise for her inclusiveness.,This can be seen from the fact that Rihanna has been receiving praise for her inclusiveness.,"No article is needed for a proper noun (i.e. a name) unless you want to use it to describe a characteristic. E.g. to solve this problem, you must be an Einstein! (suggesting that you have the same level of intellectual capacity as Einstein).",SP,remove
8,Articles,2,"Google Trends (n.d. as cited in Gorman, 2017) has shown 90% increase in 'vegan' searches from 2015 to 2017.","Google Trends (n.d. as cited in Gorman, 2017) has shown a 90% increase in 'vegan' searches from 2015 to 2017.",Article required,C,insert
8,Articles,3,"In the recent years, Esports has become increasingly popular among young adults as most of the games are accessible and free to play.","In recent years, Esports has become increasingly popular among young adults as most of the games are accessible and free to play.",No article required,C,remove
8,Articles,4,This further reduces job opportunities for young adults who are entering a workforce.,This further reduces job opportunities for young adults who are entering the workforce.,the' required instead of 'a',C,replace
8,Preposition,1,"The increase in availability of video-on-demand services will impact millennials' media consumption habits, providing them greater access to international shows and movies at anywhere and anytime.","The increase in availability of video-on-demand services will impact millennials' media consumption habits, providing them greater access to international shows and movies anywhere and anytime.",No  preposition required before anywhere.,C,remove
8,Preposition,1,"Since millennials look beyond price and quality, brands are increasingly coerced to revamping themselves to align with the values of their customers.","Since millennials look beyond price and quality, brands are increasingly coerced into revamping themselves to align with the values of their customers.","You are ""coerced into"" doing something but ""forced to"" do something.",SP,replace
8,Preposition,2,We should emphasise on how the anti-oxidant properties of organic products create radiant-looking skin.,We should emphasise how the anti-oxidant properties of organic products create radiant-looking skin.,No preposition required,C,remove
8,Preposition,3,This signals an imminent change in the status quo.,This signals an imminent change to the status quo.,Incorrect preposition,C,replace
8,Preposition,4,"Asher (2016), however, merely discusses how millennials seek feedback due to their need of connection, without reasoning how feedback affects them.","Asher (2016), however, merely discusses how millennials seek feedback due to their need for connection, without reasoning how feedback affects them.",Need for something,C,replace
8,Punctuation,1,"Group workouts foster a strong community of disciplined, like minded individuals to spur each other on.","Group workouts foster a strong community of disciplined, like-minded individuals to spur each other on.",hyphenate 'like-minded' because both words modify the noun 'individuals',C,insert
8,Punctuation,1,"Millennials look for job satisfaction, They will not hesitate to leave a job that they dislike.",Millennials look for job satisfaction. They will not hesitate to leave a job that they dislike.,Two complete sentences cannot be joined with a comma.,SP,replace
8,Punctuation,2,It is a popular car due to its' high performance on city roads.,It is a popular car due to its high performance on city roads.,"The possessive adjective (his, her, its) does not need an apostrophe",C,remove
8,Punctuation,3,"Drink unhomogenised milk from cow's that eat grass, not grain feed.","Drink unhomogenised milk from cows that eat grass, not grain feed.",Remove apostrophe. Needs a plural form (cows) rather than a possessive form (cow's),C,remove
8,Punctuation,4,Students are too shy to speak up in class. therefore each student has to make a two-minute speech in the first lesson.,Students are too shy to speak up in class. Therefore each student has to make a two-minute speech in the first lesson.,Begin the sentence with an uppercase letter,C,replace
8,Subject Verb Agreement,1,It is observed that Singapore youth is inactive most of the time.,It is observed that Singapore youth are inactive most of the time.,"""youth"" takes the plural form as it refers to a group of people.",C,replace
8,Subject Verb Agreement,1,Advancements in food technology has resulted in the development of tastier vegetarian meats.,Advancements in food technology have resulted in the development of tastier vegetarian meats.,"""Advancements"" takes the plural form of the verb ""have"". The prepositional phrase ""in food technology"" modifies the subject ""Advancements"" (subject).",SP,replace
8,Subject Verb Agreement,2,The survey by TriNet indicate that most millennials have an issue with their company's reviewing procedure.,The survey by TriNet indicates that most millennials have an issue with their company's reviewing procedure.,"""survey"" takes the singular form of the verb.",C,replace
8,Subject Verb Agreement,3,This proposal identifies art trends that aligns with the company's mission and vision.,This proposal identifies art trends that align with the company's mission and vision.,"""Trends"" takes the plural form of the verb.",C,replace
8,Subject Verb Agreement,4,The origin of these statistics are from third party organisations that do not represent the millennials' opinions.,The origin of these statistics is from third party organisations that do not represent the millennials' opinions.,"""origin"" takes the singular form of the verb.",C,replace
8,Verb Form,0,The beauty industry is constantly changing and new trends are constantly evolve.,The beauty industry is constantly changing and new trends are constantly evolving.,Present continuous. Both verbs need to be in parallel verb form and are talking about something that is going on now.,Test,replace
8,Verb Form,1,This indicates that Fromm did considered matters from different perspectives and presented a more balanced argument than Asher.,This indicates that Fromm considered matters from different perspectives and presented a more balanced argument than Asher.,Simple past tense,C,remove
8,Verb Form,1,It does not require much effort to procure these items and setting them up in the open spaces in SMU.,It does not require much effort to procure these items and set them up in the open spaces in SMU.,"Use parallel structures to emphasize the connection between ideas. When structures are parallel, they are connected by a coordinate conjunction (e.g. ""and"", ""or"") and are grammatically the same (in this case, ""to procure these items"" and ""(to) set them up in the open spaces in SMU"".",SP,replace
8,Verb Form,2,Wearable technology devices are gaining popularity amongst health-conscious people because they can been used to monitor and record personal data.,Wearable technology devices are gaining popularity amongst health-conscious people because they can be used to monitor and record personal data.,"In this complex structure, can is a modal verb and with the modal, the infintive form of the verb is used without  ""to.""",C,replace
8,Verb Form,3,"In 2016, there are over 1000 seizures of counterfeit Estee Lauder products, totalling nearly 3 million items (Herbert, 2017).","In 2016, there were over 1000 seizures of counterfeit Estee Lauder products, totalling nearly 3 million items (Herbert, 2017).",Past simple tense,C,replace
8,Verb Form,4,Retro gaming allows young adults to experience all the activities that they thought has become obsolete.,Retro gaming allows young adults to experience all the activities that they thought had become obsolete.,Past perfect tense,C,replace
8,Word Form,1,"With the influx of new brands entering the market, consumers are now spoilt for choices.","With the influx of new brands entering the market, consumers are now spoilt for choice.","Singular noun required in the phrase, ""spolit for choice"".",C,replace
8,Word Form,1,The mission of Arts House is to bring people together through the various art programmes.,The mission of Arts House is to bring people together through the various arts programmes.,"""Art"" (singular form) refers to the activity of making objects (drawings / paintings), images, music etc that express feelings or ideas. ""Arts"" (plural form) refers to branches of creative activity. Here ""arts"" modifies programmes ie. the types of programmes",SP,replace
8,Word Form,2,The amount of e-commerce transactions has increased over the years.,The number of e-commerce transactions has increased over the years.,"""Amount"" is used for uncountable nouns whereas ""number"" is used for countable nouns",C,replace
8,Word Form,3,"In 2014, nearly half a million Singapore adults had diabetes and this is predicted to double by 2050.","In 2014, nearly half a million Singaporean adults had diabetes and this is predicted to double by 2050.",An adjective is required before a noun.,C,replace
8,Word Form,4,Selling nail polishes is insufficient because it has a limited reach.,Selling nail polish is insufficient because it has a limited reach.,"""Nail polish"" is an uncountable noun so it does not have a plural form.",C,replace
9,Articles,1,"This shows how young adults are dissatisfied with the way they look, because of how beauty is defined in media.","This shows how young adults are dissatisfied with the way they look, because of how beauty is defined in the media.",Article required,C,insert
9,Articles,1,"Our magazine is on the constant search for the next ""big thing"".","Our magazine is on a constant search for the next ""big thing"".","Depending on the context, either the original or the solution could be correct. ""The constant search"" suggests that it is a specific search and/or has been mentioned previously and/or known to the reader. The solution suggests the general idea of a search which takes place constantly.",SP,replace
9,Articles,2,"education system in Singapore is extremely stressful, and students suffer from a huge amount of stress as a result.","The education system in Singapore is extremely stressful, and students suffer from a huge amount of stress as a result.",Article required,C,insert
9,Articles,3,"In a research conducted by Affluent Insights (2017), millennials are becoming more health-conscious.","In research conducted by Affluent Insights (2017), millennials are becoming more health-conscious.",No article required,C,remove
9,Articles,4,"A fashion industry is going through a revolutionary transformation, and millennials are the driving force.","The fashion industry is going through a revolutionary transformation, and millennials are the driving force.",the' required,C,replace
9,Preposition,1,The advertisement is targeting at the youth.,The advertisement is targeting the youth.,No preposition required after the verb.,C,remove
9,Preposition,1,"Consequently, this invites doubt on whether the industry could ever become eco-friendly.","Consequently, this invites doubt about whether the industry could ever become eco-friendly.","You typically have ""doubts about"" something.",SP,replace
9,Preposition,2,I am writing to you with regards to your request to research on two possible trends which would fit into one of the four categories our online magazine covers.,I am writing to you with regards to your request to research two possible trends which would fit into one of the four categories our online magazine covers.,No preposition after the verb 'research',C,remove
9,Preposition,3,We hope to get students' opinions towards the issue.,We hope to get students' opinions on the issue.,Incorrect preposition for opinion,C,replace
9,Preposition,4,The two writers discussed how millennials' expectations at workplace demands differ from other generations.,The two writers discussed how millennials' expectations of workplace demands differ from other generations.,Expectations of something or someone,C,replace
9,Punctuation,1,As they lead a fast-paced lifestyle millennials tend to have irregular sleeping patterns.,"As they lead a fast-paced lifestyle, millennials tend to have irregular sleeping patterns.",comma needed,C,insert
9,Punctuation,1,"The writer portrays the millennials negatively, She presents them as problematic employees that need to be handled carefully.",The writer portrays the millennials negatively. She presents them as problematic employees that need to be handled carefully.,This is a run-on sentence which is a sentence where two complete sentences are incorrectly joined by a comma. Use a full stop to separate the two sentences instead.,SP,replace
9,Punctuation,2,"According to colour psychology, warm colours such as yellow and orange invoke feelings of happiness and energy, (Byrne, 2010).","According to colour psychology, warm colours such as yellow and orange invoke feelings of happiness and energy (Byrne, 2010).",Remove comma before in-text citation bracket.,C,remove
9,Punctuation,3,"According to a Teladoc report, Telehealth solves 92% of patient's' problems.","According to a Teladoc report, Telehealth solves 92% of patients' problems.",Remove apostrophe before s,C,remove
9,Punctuation,4,"Efforts to bring in more cultural events remain unabated, Hence, this trend will continue growing.","Efforts to bring in more cultural events remain unabated. Hence, this trend will continue growing.",Comma Splice: Two separate sentences cannot be joined with a comma.,C,replace
9,Subject Verb Agreement,1,"I have researched two trends which fits into the ""health"" category of our magazine.","I have researched two trends which fit into the ""health"" category of our magazine.","""trends"" takes the plural form of the verb.",C,replace
9,Subject Verb Agreement,1,The shift in power to the consumers are more impactful to our astute readers.,The shift in power to the consumers is more impactful to our astute readers.,"""shift"" takes the singular form of the verb ""is"". The prepositional phrases ""in power"" and ""to the consumers"" modify the same word and subject ""shift"".",SP,replace
